House,Q1,Q2,Q3,Q4,Q5,Q6,Q7
Gryffindor,The Wise,Violin,Liked,Castle secrets,"Cobbled street, ancient buildings",Stars,Black
Slytherin,The Wise,Violin,Liked,Ghosts,Confuse troll,River,Tails
Slytherin,The Wise,Violin,Praised,Ghosts,Ask what makes them think so,River,Heads
Slytherin,The Wise,Violin,Trusted,Castle secrets,Ask what makes them think so,Dawn,Black
Slytherin,The Wise,Violin,Trusted,Change appearance,Suggest all 3 fight (without informing troll),Moon,Black
Slytherin,The Wise,Violin,Trusted,Ghosts,Tell person to tell truth or you will,Dusk,Tails
Gryffindor,The Wise,Violin,Trusted,Invisibility,Lie and say you don't know,Dawn,Tails
Gryffindor,The Wise,,Cure>Book>Records,Centaurs,Eye at keyhole of dark,Dusk,Left
Slytherin,Think of achievements,Black visions goblet,Imitated,Transfiguration,Wide sunny grassy lane,Stars,Black
Ravenclaw,Think of achievements,Drums,Cure>Book>Records,Transfiguration,Silly voice,Forest,White
Ravenclaw,Think of achievements,Fresh Parchment,Cure>Book>Records,Every area of magic,"Tell Flitwick, you'll get points",Dusk,Heads
Ravenclaw,Think of achievements,Fresh Parchment,Hunger,Centaurs,"Tell Flitwick, you'll get points",Dusk,Left
Ravenclaw,Think of achievements,Fresh Parchment,Hunger,Werewolves,Ask what makes them think so,Forest,Heads
Ravenclaw,Think of achievements,Fresh Parchment,Hunger,Werewolves,Eye at keyhole of dark,Forest,Heads
Slytherin,Think of achievements,Fresh Parchment,Praised,Read Minds,"Tell Flitwick, you'll get points",Stars,Tails
Ravenclaw,Think of achievements,Fresh Parchment,Trusted,Werewolves,Confuse Troll,Forest,Heads
Slytherin,Think of achievements,Golden sunspots potion,Being Ignored,Change the past,Agree and walk away (bluffing),Moon,Right
Slytherin,Think of achievements,Golden sunspots potion,Being Ignored,Change the past,Agree and walk away (bluffing),Moon,Right
Ravenclaw,Think of achievements,Golden sunspots potion,Being Ignored,Every area of magic,"Draw wand, find source",Stars,Heads
Gryffindor,Think of achievements,Golden sunspots potion,Book>Cure>Records,Ghosts,Twisting leafy woodsy path,Moon,Right
Gryffindor,Think of achievements,Golden sunspots potion,Cure>Book>Records,Read Minds,"Proceed with caution, concealed wand",Stars,Left
Gryffindor,Think of achievements,Golden sunspots potion,Praised,Every area of magic,Eye at keyhole of dark,Dusk,Tails
Gryffindor,Think of achievements,Home,Boredom,Centaurs,Eye at keyhole of dark,Stars,Black
Slytherin,Think of achievements,Home,Boredom,Change the past,Confuse Troll,Stars,Heads
Slytherin,Think of achievements,Home,Boredom,Hexes and Jinxes,"Tell Flitwick, you'll get points",Forest,Right
Slytherin,Think of achievements,Log Fire,Envied,Werewolves,Suggest all 3 fight (without informing troll),Moon,Black
Gryffindor,Think of achievements,Log Fire,Hunger,Invisibility,"Up high, no handholds",Dawn,Tails
Gryffindor,Think of achievements,Log Fire,Praised,Apparition/Disapparition,"Up high, no handholds",Dusk,Right
Ravenclaw,Think of achievements,Log Fire,Trusted,Every area of magic,Ask what makes them think so,Moon,Tails
Ravenclaw,Think of achievements,Luminous pool,Book>Cure>Records,Merpeople,Agree and walk away (bluffing),Dawn,Heads
Hufflepuff,Think of achievements,Luminous pool,Cure>Records>Book,Every area of magic,No one knows you,Dusk,Right
Slytherin,Think of achievements,Luminous pool,Envied,Broom Flying,Ask what makes them think so,River,Left
Hufflepuff,Think of achievements,Luminous pool,Hunger,Broom Flying,Lie and say you don't know,River,White
Slytherin,Think of achievements,Luminous pool,Liked,Magical Creatures,Tell person to tell truth or you will,Forest,Left
Slytherin,Think of achievements,Luminous pool,Loneliness,Change appearance,Suggest all 3 fight (without informing troll),River,Left
Ravenclaw,Think of achievements,Merlin's rune box,Book>Cure>Records,Centaurs,"Worried about mental health, call Dr.",Dusk,Black
Slytherin,Think of achievements,Merlin's rune box,Book>Cure>Records,Centaurs,Eye at keyhole of dark,Dusk,Right
Slytherin,Think of achievements,Merlin's rune box,Boredom,Change the past,"Proceed with caution, concealed wand",Forest,Right
Slytherin,Think of achievements,Merlin's rune box,Boredom,Every area of magic,Eye at keyhole of dark,Forest,Left
Slytherin,Think of achievements,Merlin's rune box,Cold,Change appearance,Ask what makes them think so,Dusk,Tails
Slytherin,Think of achievements,Merlin's rune box,Cold,Change Appearance,"Proceed with caution, concealed wand",Stars,Tails
Hufflepuff,Think of achievements,Merlin's rune box,Cold,Merpeople,"Proceed with caution, concealed wand",Stars,White
Ravenclaw,Think of achievements,Merlin's rune box,Cure>Book>Records,Ghosts,"Proceed with caution, concealed wand",Stars,Left
Ravenclaw,Think of achievements,Merlin's rune box,Cure>Book>Records,Ghosts,"Proceed with caution, concealed wand",Stars,Left
Hufflepuff,Think of achievements,Merlin's rune box,Hunger,Invisibility,"Cobbled street, ancient buildings",Moon,Heads
Gryffindor,Think of achievements,Merlin's rune box,Praised,Change appearance,Twisting leafy woodsy path,Forest,White
Ravenclaw,Think of achievements,Merlin's rune box,Trusted,Werewolves,Ask what makes them think so,Forest,Heads
Ravenclaw,Think of achievements,Ornate temptation box,Book>Cure>Records,Read Minds,Eye at keyhole of dark,Forest,Left
Ravenclaw,Think of achievements,Ornate temptation box,Boredom,Invisibility,Confuse Troll,Forest,White
Ravenclaw,Think of achievements,Ornate temptation box,Cure>Book>Records,Vampires,"Proceed with caution, concealed wand",Dawn,Left
Ravenclaw,Think of achievements,Ornate temptation box,Praised,Change appearance,Agree and walk away (bluffing),Dusk,Heads
Slytherin,Think of achievements,Ornate temptation box,Praised,Superstrength,Suggest all 3 fight (without informing troll),Dusk,Left
Ravenclaw,Think of achievements,Ornate temptation box,Records>Cure>Book,Trolls,"Up high, no handholds",Moon,White
Gryffindor,Think of achievements,Pewter box for worthy,Being Ignored,Apparition/Disapparition,Agree and walk away (bluffing),Forest,White
Ravenclaw,Think of achievements,Piano,Book>Cure>Records,Vampires,"Cobbled street, ancient buildings",Dusk,Left
Slytherin,Think of achievements,Piano,Book>Records>Cure,Hexes and Jinxes,Suggest all 3 fight (without informing troll),Dawn,Heads
Slytherin,Think of achievements,Piano,Book>Records>Cure,Read Minds,Withdraw and review spells,Dusk,Tails
Gryffindor,Think of achievements,Piano,Boredom,Change the past,Agree and walk away (bluffing),Stars,Heads
Gryffindor,Think of achievements,Piano,Boredom,Change the past,Agree and walk away (bluffing),Stars,Heads
Slytherin,Think of achievements,Piano,Cure>Book>Records,Every area of magic,Eye at keyhole of dark,River,Black
Ravenclaw,Think of achievements,Piano,Cure>Book>Records,Every area of magic,"Cobbled street, ancient buildings",Dusk,Heads
Ravenclaw,Think of achievements,Piano,Cure>Book>Records,Every area of magic,No one knows you,Moon,Heads
Ravenclaw,Think of achievements,Piano,Cure>Book>Records,Every area of magic,Twisting leafy woodsy path,Dusk,Right
Ravenclaw,Think of achievements,Piano,Cure>Book>Records,Ghosts,No one knows you,River,Heads
Ravenclaw,Think of achievements,Piano,Liked,Every area of magic,"Worried about mental health, call Dr.",Moon,Heads
Ravenclaw,Think of achievements,Piano,Records>Book>Cure,Every area of magic,"Cobbled street, ancient buildings",Moon,Black
Ravenclaw,Think of achievements,Piano,Records>Book>Cure,Every area of magic,Confuse Troll,Forest,Tails
Ravenclaw,Think of achievements,Piano,Trusted,Werewolves,Ask what makes them think so,Dusk,Left
Ravenclaw,Think of achievements,Plums and chocolate,Loneliness,Ghosts,Withdraw and review spells,River,Left
Ravenclaw,Think of achievements,"Silver tree, golden apple",Loneliness,Change the past,Ask what makes them think so,Dawn,White
Slytherin,Think of achievements,"Silver tree, golden apples",Cold,Apparition/Disapparition,"Proceed with caution, concealed wand",Dusk,Left
Hufflepuff,Think of achievements,"Silver tree, golden apples",Cold,Change appearance,Lie and say you don't know,Stars,White
Ravenclaw,Think of achievements,"Silver tree, golden apples",Cold,Change the past,Suggest all 3 fight (without informing troll),Dawn,Heads
Ravenclaw,Think of achievements,"Silver tree, golden apples",Cure>Book>Records,Centaurs,Lie and say you don't know,Dawn,Black
Ravenclaw,Think of achievements,"Silver tree, golden apples",Cure>Book>Records,Merpeople,"Proceed with caution, concealed wand",Forest,White
Ravenclaw,Think of achievements,"Silver tree, golden apples",Envied,Transfiguration,"Proceed with caution, concealed wand",Dawn,Heads
Ravenclaw,Think of achievements,"Silver tree, golden apples",Imitated,Talk to animals,"Draw wand, find source",Dusk,Heads
Ravenclaw,Think of achievements,"Silver tree, golden apples",Records>Book>Cure,Goblins,Nightmare: silly voice,Dawn,Heads
Ravenclaw,Think of achievements,"Silver tree, golden apples",Trusted,Every area of magic,Withdraw and review spells,Dusk,Left
Hufflepuff,Think of achievements,"Silver tree, golden apples",Trusted,Talk to animals,Tell person to tell truth or you will,Dawn,Heads
Ravenclaw,Think of achievements,Silvery glittery potion,Book>Cure>Records,Read Minds,"Tell Flitwick, you'll get points",Dawn,Left
Ravenclaw,Think of achievements,Silvery glittery potion,Book>Records>Cure,Read Minds,"Nightmare: High up, no handholds",River,Heads
Ravenclaw,Think of achievements,Silvery glittery potion,Book>Records>Cure,Read Minds,"Nightmare: High up, no handholds",River,Heads
Ravenclaw,Think of achievements,Silvery glittery potion,Cure>Book>Records,Every area of magic,Withdraw and review spells,Stars,Black
Ravenclaw,Think of achievements,Silvery glittery potion,Cure>Book>Records,Every area of magic,Withdraw and review spells,Dusk,Heads
Ravenclaw,Think of achievements,Silvery glittery potion,Cure>Book>Records,Every area of magic,Withdraw and review spells,Stars,Left
Gryffindor,Think of achievements,Silvery glittery potion,Cure>Book>Records,Werewolves,"Tell Flitwick, you'll get points",Stars,Black
Ravenclaw,Think of achievements,Silvery glittery potion,Cure>Book>Records,Werewolves,Ask what makes them think so,Stars,Heads
Ravenclaw,Think of achievements,Silvery glittery potion,Cure>Book>Records,Werewolves,Eye at keyhole of dark,Dusk,Left
Ravenclaw,Think of achievements,Silvery glittery potion,Cure>Records>Book,Werewolves,Eye at keyhole of dark,Dusk,Heads
Ravenclaw,Think of achievements,Silvery glittery potion,Hunger,Werewolves,Confuse Troll,Stars,Black
Ravenclaw,Think of achievements,Silvery glittery potion,Imitated,Werewolves,"Worried about mental health, call Dr.",Forest,Black
Gryffindor,Think of achievements,Silvery glittery potion,Praised,Apparition/Disapparition,Confuse Troll,Stars,White
Ravenclaw,Think of achievements,Silvery glittery potion,Praised,Ghosts,No one know you,Forest,Left
Gryffindor,Think of achievements,Silvery glittery potion,Trusted,Centaurs,Ask what makes them think so,Stars,Left
Gryffindor,Think of achievements,Silvery glittery potion,Trusted,Centaurs,Tell person to tell truth or you will,Moon,Tails
Ravenclaw,Think of achievements,Silvery glittery potion,Trusted,Change appearance,Confuse Troll,Stars,Heads
Ravenclaw,Think of achievements,Silvery glittery potion,Trusted,Change appearance,Withdraw and review spells,Dusk,Left
Ravenclaw,Think of achievements,Silvery glittery potion,Trusted,Werewolves,Ask what makes them think so,Forest,Left
Ravenclaw,Think of achievements,Statue,Cure>Book>Records,Change appearance,"Cobbled street, ancient buildings",Stars,Heads
Ravenclaw,Think of achievements,Statue,Cure>Book>Records,Every area of magic,Confuse Troll,Dawn,Left
Gryffindor,Think of achievements,Statue,Cure>Book>Records,Werewolves,Eye at keyhole of dark,Dusk,Black
Ravenclaw,Think of achievements,Statue,Hunger,Change appearance,"Draw wand, find source",Dusk,Left
Hufflepuff,Think of achievements,Statue,Hunger,Werewolves,Eye at keyhole of dark,Dusk,Heads
Hufflepuff,Think of achievements,Statue,Loneliness,Werewolves,Lantern-lit alley,Stars,Heads
Gryffindor,Think of achievements,Statue,Trusted,Apparition/Disapparition,"Up high, no handholds",Dawn,White
Gryffindor,Think of achievements,Statue,Trusted,Change appearance,Eye at keyhole of dark,Stars,Heads
Gryffindor,Think of achievements,Statue,Trusted,Every area of magic,Withdraw and review spells,Stars,Black
Ravenclaw,Think of achievements,Talking Toadstools,Cure>Book>Records,Centaurs,Ask what makes them think so,River,White
Slytherin,Think of achievements,Talking toadstools,Praised,Every area of magic,No one knows you,Moon,Black
Hufflepuff,Think of achievements,Talking toadstools,Trusted,Every area of magic,"Draw wand, find source",River,Heads
Gryffindor,Think of achievements,Tortoiseshell squeaky box,Boredom,Ghosts,"Cobbled street, ancient buildings",Forest,Right
Hufflepuff,Think of achievements,Trumpet,Cure>Records>Book,Read minds,Eye at keyhole of dark,Dusk,Right
Gryffindor,Think of achievements,Trumpet,Trusted,Ghosts,"Cobbled street, ancient buildings",Forest,Tails
Slytherin,Think of achievements,Violin,Book>Cure>Records,Apparition/Disapparition,"Worried about mental health, call Dr.",Dawn,Black
Slytherin,Think of achievements,Violin,Boredom,Every area of magic,"Cobbled street, ancient buildings",Dusk,Black
Gryffindor,Think of achievements,Violin,Cure>Book>Records,Ghosts,"Up high, no handholds",Stars,Black
Slytherin,Think of achievements,Violin,Praised,Apparition/Disapparition,Ask what makes them think so,Dusk,Tails
Ravenclaw,Think of achievements,Violin,Praised,Merpeople,Confuse Troll,Dawn,Left
Ravenclaw,Wisdom,Black visions goblet,Being Ignored,Talk to animals,No one knows you,Moon,White
Ravenclaw,Wisdom,Black visions goblet,Book>Cure>Records,Werewolves,"Tell Flitwick, you'll get points",Forest,Left
Slytherin,Wisdom,Black visions goblet,Book>Records>Cure,Every area of magic,No one knows you,Moon,Heads
Slytherin,Wisdom,Black visions goblet,Liked,Castle secrets,Ask what makes them think so,Dusk,Tails
Ravenclaw,Wisdom,Black visions goblet,Praised,Every area of magic,"Cobbled street, ancient buildings",Dawn,Left
Ravenclaw,Wisdom,Black visions goblet,,Every area of magic,"Cobbled street, ancient buildings",,Left
Ravenclaw,Wisdom,Fresh Parchment,Being Ignored,Every area of magic,Withdraw and review spells,Dawn,White
Ravenclaw,Wisdom,Fresh Parchment,Book>Cure>Records,Every area of magic,Confuse Troll,Stars,Left
Ravenclaw,Wisdom,Fresh Parchment,Book>Cure>Records,Every area of magic,"Draw wand, find source",Stars,Tails
Ravenclaw,Wisdom,Fresh Parchment,Book>Cure>Records,Talk to animals,Ask what makes them think so,River,Tails
Gryffindor,Wisdom,Fresh Parchment,Cure>Book>Records,Change appearance,Twisting leafy woodsy path,River,Right
Ravenclaw,Wisdom,Fresh Parchment,Cure>Book>Records,Every area of magic,"Cobbled street, ancient buildings",Dusk,Heads
Ravenclaw,Wisdom,Fresh Parchment,Hunger,Castle secrets,Lie and say you don't know,Dusk,Tails
Ravenclaw,Wisdom,Fresh Parchment,Hunger,Change appearance,"Cobbled street, ancient buildings",Forest,Heads
Ravenclaw,Wisdom,Fresh Parchment,Hunger,Every area of magic,Withdraw and review spells,Stars,Left
Ravenclaw,Wisdom,Fresh Parchment,Hunger,Ghosts,"Cobbled street, ancient buildings",Stars,Heads
Ravenclaw,Wisdom,Fresh Parchment,Hunger,Ghosts,"Cobbled street, ancient buildings",Stars,Heads
Ravenclaw,Wisdom,Fresh Parchment,Loneliness,Read Minds,Ask what makes them think so,Forest,Heads
Ravenclaw,Wisdom,Fresh Parchment,Loneliness,Read Minds,Ask what makes them think so,Forest,Heads
Ravenclaw,Wisdom,Fresh Parchment,Praised,Invisibility,Ask what makes them think so,Dusk,Black
Ravenclaw,Wisdom,Fresh Parchment,Records>Cure>Book,Every area of magic,Withdraw and review spells,Stars,Heads
Ravenclaw,Wisdom,Fresh Parchment,Trusted,Every area of magic,No one knows you,Stars,Left
Hufflepuff,Wisdom,Fresh Parchment,Trusted,Talk to animals,Agree and walk away (bluffing),Stars,White
Ravenclaw,Wisdom,Golden sunspots potion,Being Ignored,Centaurs,"Draw wand, find source",Forest,Heads
Ravenclaw,Wisdom,Golden sunspots potion,Being Ignored,Merpeople,Withdraw and review spells,Stars,Black
Gryffindor,Wisdom,Golden sunspots potion,Book>Cure>Records,Castle secrets,Ask what makes them think so,Stars,Heads
Gryffindor,Wisdom,Golden sunspots potion,Boredom,Every area of magic,Volunteer to Fight,Stars,Black
Hufflepuff,Wisdom,Golden sunspots potion,Trusted,Magical Creatures,"Proceed with caution, concealed wand",Stars,Tails
Ravenclaw,Wisdom,Golden sunspots potion,Trusted,Read Minds,Volunteer to fight,Dusk,Black
Ravenclaw,Wisdom,Home,Cure>Book>Records,Change the past,Withdraw and review spells,Dawn,Left
Hufflepuff,Wisdom,Home,Cure>Book>Records,Magical Creatures,"Proceed with caution, concealed wand",Stars,Heads
Hufflepuff,Wisdom,Home,Cure>Records>Book,Change the past,Twisting leafy woodsy path,Dawn,Heads
Slytherin,Wisdom,Home,Liked,Goblins,Offer them a sample of a jinx,River,Tails
Ravenclaw,Wisdom,Home,Loneliness,Every area of magic,"Cobbled street, ancient buildings",Stars,White
Hufflepuff,Wisdom,Home,Trusted,Magical Creatures,Wide sunny grassy lane,Dusk,Tails
Ravenclaw,Wisdom,Log Fire,Being Ignored,Every area of magic,Ask what makes them think so,Dawn,White
Gryffindor,Wisdom,Log Fire,Cure>Book>Records,Centaurs,Tell person to tell truth or you will,Forest,White
Gryffindor,Wisdom,Log Fire,Imitated,Broom Flying,Confuse Troll,Stars,Right
Slytherin,Wisdom,Log Fire,Loneliness,Apparition/Disapparition,Lie and say you don't know,Dusk,Left
Gryffindor,Wisdom,Log Fire,Praised,Apparition/Disapparition,Agree and walk away (bluffing),Moon,Right
Slytherin,Wisdom,Luminous pool,Being Ignored,Merpeople,Ask what makes them think so,Forest,Black
Slytherin,Wisdom,Luminous pool,Book>Cure>Records,Change appearance,Agree and walk away (bluffing),Dusk,Left
Gryffindor,Wisdom,Luminous pool,Envied,Werewolves,Suggest all 3 fight (without informing troll),Stars,Tails
Ravenclaw,Wisdom,Luminous pool,Loneliness,Ghosts,Tell person to tell truth or you will,River,Left
Hufflepuff,Wisdom,Luminous pool,Trusted,Broom Flying,"Tell Flitwick, you'll get points",River,Heads
Gryffindor,Wisdom,Luminous pool,Trusted,Castle secrets,Twisting leafy woodsy path,Stars,Right
Hufflepuff,Wisdom,Luminous pool,Trusted,Ghosts,"Proceed with caution, concealed wand",Stars,Heads
Slytherin,Wisdom,Luminous pool,Trusted,Ghosts,"Proceed with caution, concealed wand",Stars,Heads
Slytherin,Wisdom,Merlin's rune box,Being Ignored,Merpeople,Withdraw and review spells,Stars,Black
Slytherin,Wisdom,Merlin's rune box,Being Ignored,Werewolves,Eye at keyhole of dark,Dusk,Black
Slytherin,Wisdom,Merlin's rune box,Being Ignored,Werewolves,Eye at keyhole of dark,Dusk,Black
Slytherin,Wisdom,Merlin's rune box,Book>Cure>Records,Castle secrets,Agree and walk away (bluffing),River,Tails
Slytherin,Wisdom,Merlin's rune box,Book>Records>Cure,Merpeople,"Cobbled street, ancient buildings",Stars,Left
Slytherin,WIsdom,Merlin's rune box,Cure>Book>Records,Every area of magic,Ask what makes them think so,Dusk,Left
Slytherin,Wisdom,Merlin's rune box,Liked,Castle secrets,Confuse Troll,Moon,Black
Gryffindor,Wisdom,Merlin's rune box,Praised,Invisibility,Tell person to tell truth or you will,Dusk,Left
Ravenclaw,Wisdom,Merlin's rune box,Trusted,Centaurs,No one knows you,Dawn,Heads
Slytherin,Wisdom,Merlin's rune box,Trusted,Every area of magic,Withdraw and review spells,Dusk,Black
Slytherin,Wisdom,Merlin's rune box,Trusted,Werewolves,Lantern-lit alley,Dawn,Tails
Slytherin,Wisdom,Ornate temptation box,Cure>Book>Records,Change the past,Lie and say you don't know,River,Left
Ravenclaw,Wisdom,Ornate temptation box,Liked,Castle secrets,Ask what makes them think so,Stars,Left
Slytherin,Wisdom,Pewter box for worthy,Being Ignored,Hexes and Jinxes,"Draw wand, find source",Dusk,Heads
Slytherin,Wisdom,Pewter box for worthy,Book>Cure>Records,Centaur,Wide sunny grassy lane,Moon,Black
Gryffindor,Wisdom,Pewter box for worthy,Book>Cure>Records,Change the past,Tell person to tell truth or you will,Forest,Right
Gryffindor,Wisdom,Pewter box for worthy,Book>Cure>Records,Change the past,Tell person to tell truth or you will,Forest,Right
Gryffindor,Wisdom,Pewter box for worthy,Cure>Book>Records,Invisibility,"Draw wand, find source",Forest,Heads
Gryffindor,Wisdom,Pewter box for worthy,Feared,Castle secrets,"Draw wand, find source",Forest,Left
Ravenclaw,Wisdom,Pewter box for worthy,Hunger,Change appearance,"Cobbled street, ancient buildings",Dawn,Left
Ravenclaw,Wisdom,Pewter box for worthy,Hunger,Change appearance,"Cobbled street, ancient buildings",Dawn,Left
Ravenclaw,Wisdom,Pewter box for worthy,Hunger,Change appearance,"Cobbled street, ancient buildings",Dawn,Left
Gryffindor,Wisdom,Pewter box for worthy,Hunger,Werewolves,Eye at keyhole of dark,Forest,Black
Gryffindor,Wisdom,Pewter box for worthy,Loneliness,Ghosts,No one knows you,Moon,Tails
Gryffindor,Wisdom,Pewter box for worthy,Loneliness,Ghosts,No one knows you,Moon,Tails
Ravenclaw,Wisdom,Pewter box for worthy,Praised,Centaurs,"Cobbled street, ancient buildings",Forest,White
Gryffindor,Wisdom,Pewter box for worthy,Praised,Centaurs,"Draw wand, find source",Forest,White
